FEATURE_1,FEATURE_2,FEATURE_3,FEATURE_4,FEATURE_5,FEATURE_6,FEATURE_7,ACC_REC
749.931965785314,657.886298463083,-81.0474182395856,825.220078,4,0.3275,1,0
710.239243301837,740.101607105428,-55.4614764623503,549.598937,6,0.2285,0,0
836.790416290139,772.627532646607,-27.9202654522879,501.196551,4,0.34,1,0
724.783038613205,629.483154770161,-83.1301106867318,561.987277,5,0.2554,1,0
761.699835934061,737.739129753704,-58.5281324434731,620.886354,5,0.2576,1,0
913.996243883242,876.581902389757,-72.0484096567436,574.626342568182,6,0.2075,1,0
825.898068453385,776.090519281473,20.1820976416398,498.228196,8,0.147375,1,0
773.236730127961,778.529967031402,-119.552904487963,572.283751,4,0.326,1,0
752.290480012494,735.902126139843,-191.4199342627,538.958524,3,0.449666666666667,1,0
678.530261449926,722.472166810557,29.3396700482047,598.090629,6,0.2025,1,0
798.37862490717,553.851696053735,-75.9773092820209,885.915525,4,0.3325,0,0
625.122788123295,568.753250002183,-13.903323298258,596.104753,3,0.387666666666667,1,0
778.168247121836,704.990416250206,-48.9671975619555,612.464484,5,0.2542,1,0
824.889000090681,754.195139662912,-45.7743437959241,635.300159,3,0.46,1,0
557.181547883395,593.436608888885,-108.498277418829,591.838966,4,0.31175,1,0
631.374283685936,713.648714107609,-10.9770234119632,604.705178,4,0.3175,1,0
634.206790667583,681.801662568744,-47.0362035654389,696.695669,3,0.484333333333333,0,0
723.327438940359,756.34831934392,-50.5440635082424,516.251049,5,0.2602,1,0
637.814312818203,615.79771580105,-26.072011359532,643.409771,8,0.1565,0,0
555.094178050694,515.614468687943,-45.6436709211744,483.734455,8,0.097125,2,0
566.874104434945,456.728963362325,-27.0091094769189,574.626342568182,5,0.1966,1,0
525.415466131968,732.45656774255,134.199624164134,566.977995,4,0.3485,0,0
588.469889816632,571.835973386514,1.05470023225598,574.626342568182,6,0.2265,0,0
587.433611878965,573.784551780999,-10.5202413755585,473.327926,3,0.220666666666667,0,0
679.079238541226,686.509845990847,-142.118734124839,521.501571,4,0.342,1,0
812.9384166011,588.002097404074,-58.0294919526821,678.768821,4,0.30025,2,0
613.82556485543,567.080688463329,31.7364769883178,456.538571,6,0.205666666666667,1,0
